Number,Train ID,Train Name,Route,Average delay,D-1,D-2,D-3,Amenities,Stations
231,3604/5,GROTTGER,Przemyśl Główny-Wrocław Główny,6,0,2,1,"Klasa 2,Na zarządenie,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Miejsca dla rowerów,Wagon restauracyjny,Klasa 1","Przemyśl Główny,Przemyśl Zasanie,Radymno,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Sędziszów Małopolski,Ropczyce,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Strzelce Opolskie,Opole Główne,Brzeg,Oława,Wrocław Główny"
232,6305/4,GROTTGER,Wrocław Główny-Przemyśl Główny,6,1,0,0,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Wagon bezprzedziałowy,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Na zarządenie","Wrocław Główny,Oława,Brzeg,Opole Główne,Strzelce Opolskie,Gliwice,Zabrze,Katowice,Mysłowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Ropczyce,Sędziszów Małopolski,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Przemyśl Zasanie,Przemyśl Główny"
205,63101/0,BOZNAŃSKA,Wrocław Główny-Kraków Główny,5,12,3,3,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Klasa 2,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Miejsca dla rowerów","Wrocław Główny,Opole Główne,Gliwice,Zabrze,Katowice,Kraków Główny"
208,2701/0,HETMAN,Lublin Główny-Zielona Góra Główna,5,3,66,4,"Klasa 2,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Klasa 1 i 2,Wagon bezprzedziałowy","Lublin Główny,Kraśnik,Zaklików,Stalowa Wola Rozwadów,Stalowa Wola Centrum,Nisko,Rudnik nad Sanem,Nowa Sarzyna,Leżajsk,Łańcut,Rzeszów Główny,Dębica,Tarnów,Bochnia,Kraków Płaszów,Kraków Główny,Katowice,Zabrze,Gliwice,Opole Główne,Wrocław Główny,Legnica,Rokitki,Leszno Górne,Małomice,Żagań,Żary,Nowogród Osiedle,Zielona Góra Główna"
200,7300/1,ŚLĄZAK,Poznań Główny-Przemyśl Główny,5,1,4,5,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Wagon bezprzedziałowy,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Na zarządenie","Poznań Główny,Kościan,Leszno,Rawicz,Żmigród,Oborniki Śląskie,Wrocław Główny,Oława,Brzeg,Opole Główne,Strzelce Opolskie,Gliwice,Zabrze,Katowice,Mysłowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Ropczyce,Sędziszów Małopolski,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Radymno,Przemyśl Zasanie,Przemyśl Główny"
193,8304/5,MATEJKO,Szczecin Główny-Przemyśl Główny,5,7,2,5,"Klasa 2,Wagon bezprzedziałowy,Klimatyzacja,Miejsca dla rowerów,Gniazdko 230 V,Przedział konduktorski,Miejsca dla wózków inwalidzkich,Wagon restauracyjny,Klasa 1","Szczecin Główny,Gryfino,Chojna,Mieszkowice,Kostrzyn,Rzepin,Zielona Góra Główna,Nowa Sól,Bytom Odrzański,Głogów,Ścinawa,Wołów,Brzeg Dolny,Wrocław Główny,Oława,Brzeg,Opole Główne,Gogolin,Zdzieszowice,Kędzierzyn-Koźle,Gliwice,Zabrze,Katowice,Mysłowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Ropczyce,Sędziszów Małopolski,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Radymno,Przemyśl Zasanie,Przemyśl Główny"
151,83104/5,CHEŁMOŃSKI,Świnoujście-Kraków Główny,4,0,2,2,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Wagon bezprzedziałowy,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Na zarządenie","Świnoujście,Międzyzdroje,Wysoka Kamieńska,Goleniów,Szczecin Dąbie,Szczecin Główny,Gryfino,Chojna,Kostrzyn,Rzepin,Zielona Góra Główna,Nowa Sól,Bytom Odrzański,Głogów,Lubin,Legnica,Wrocław Główny,Oława,Brzeg,Opole Główne,Gogolin,Zdzieszowice,Kędzierzyn-Koźle,Gliwice,Zabrze,Katowice,Mysłowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny"
145,36100/1,BOZNAŃSKA,Kraków Główny-Wrocław Główny,3,0,1,1,"Klasa 2,Wagon bezprzedziałowy,Klimatyzacja,Gniazdko 230 V,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Klasa 1","Kraków Główny,Katowice,Zabrze,Gliwice,Opole Główne,Wrocław Główny"
142,3700/1,ŚLĄZAK,Przemyśl Główny-Poznań Główny,3,3,0,0,"Klasa 2,Na zarządenie,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Miejsca dla rowerów,Wagon restauracyjny,Klasa 1","Przemyśl Główny,Przemyśl Zasanie,Radymno,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Sędziszów Małopolski,Ropczyce,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Strzelce Opolskie,Opole Główne,Brzeg,Oława,Wrocław Główny,Oborniki Śląskie,Żmigród,Rawicz,Leszno,Kościan,Poznań Główny"
134,37104/5,MEHOFFER,Przemyśl Główny-Zielona Góra Główna,3,1,1,0,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Klasa 2,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Miejsca dla rowerów","Przemyśl Główny,Przemyśl Zasanie,Radymno,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Sędziszów Małopolski,Ropczyce,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Miechów,Częstochowa Stradom,Lubliniec,Opole Główne,Brzeg,Oława,Wrocław Główny,Legnica,Lubin,Głogów,Bytom Odrzański,Nowa Sól,Zielona Góra Główna"
126,83172/3,PRZEMYŚLANIN,Świnoujście-Przemyśl Główny,3,2,2,2,"Klasa 2,Klimatyzacja,Wagon z miejscami do leżenia,Gniazdko 230 V,Klasa 1 i 2,Miejsca dla wózków inwalidzkich,Wagon sypialny,Klasa 1,Wagon restauracyjny,Wagon bezprzedziałowy,Miejsca dla rowerów,Przedział konduktorski","Świnoujście,Międzyzdroje,Wysoka Kamieńska,Goleniów,Szczecin Dąbie,Szczecin Główny,Szczecin Dąbie,Stargard,Choszczno,Dobiegniew,Krzyż,Wronki,Szamotuły,Poznań Główny,Kościan,Leszno,Rawicz,Żmigród,Oborniki Śląskie,Wrocław Główny,Gliwice,Zabrze,Katowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Przemyśl Główny"
90,38172/3,PRZEMYŚLANIN,Przemyśl Główny-Świnoujście,2,0,1,1,"Klasa 1 i 2,Klimatyzacja,Miejsca dla wózków inwalidzkich,Wagon sypialny,Gniazdko 230 V,Klasa 2,Wagon z miejscami do leżenia,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla rowerów,Wagon restauracyjny,Klasa 1","Przemyśl Główny,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Katowice,Zabrze,Gliwice,Wrocław Główny,Oborniki Śląskie,Żmigród,Rawicz,Leszno,Kościan,Poznań Główny,Szamotuły,Wronki,Krzyż,Dobiegniew,Choszczno,Stargard,Szczecin Dąbie,Szczecin Główny,Szczecin Dąbie,Goleniów,Wysoka Kamieńska,Międzyzdroje,Świnoujście"
83,6301/0,WYSPIAŃSKI,Wrocław Główny-Przemyśl Główny,2,1,1,2,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Klasa 2,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla rowerów","Wrocław Główny,Opole Główne,Gliwice,Zabrze,Katowice,Kraków Główny,Kraków Płaszów,Bochnia,Tarnów,Dębica,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Przemyśl Zasanie,Przemyśl Główny"
13,73104/5,MEHOFFER,Zielona Góra Główna-Przemyśl Główny,0,2,4,4,"Klasa 2,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Klasa 1","Zielona Góra Główna,Nowa Sól,Bytom Odrzański,Głogów,Lubin,Legnica,Wrocław Główny,Oława,Brzeg,Opole Główne,Lubliniec,Częstochowa Stradom,Miechów,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Ropczyce,Sędziszów Małopolski,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Radymno,Przemyśl Zasanie,Przemyśl Główny"
