Number,Type,Name,Route
(248) 17000/1,EIC,BERLIN - WARSZAWA - EXPRESS,WarszawaWsch._WarszawaCentr._PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(249) 71000/1,EIC,BERLIN - WARSZAWA - EXPRESS,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._WarszawaCentr._WarszawaWsch.
(31) 33002,TLK, ,Zaporizhzhia_Dnipro_Hl._Berdychiv_MostiskaII_Medyka_PrzemyślGł.
(310) 24001/0,TLK,ROZTOCZE,LublinGł._Kraśnik_StalowaWolaRozw._Leżajsk_Rzeszów_Tarnów_KrakówGł._Katowice_Gliwice_Racibórz_Chałupki_Bohumin
(311) 42000/1,TLK,ROZTOCZE,Bohumin_Chałupki_Racibórz_Gliwice_Katowice_KrakówGł._Tarnów_RzeszówGł._Leżajsk_StalowaWolaRozw._Kraśnik_LublinGł.
(32) 33001,TLK, ,PrzemyślGł._Medyka_MostiskaII_Berdychiv_Dnipro_Hl._ZaporizhzhiaI
(35) 33026,TLK, ,OdessaHl._MostiskaII_Medyka_PrzemyślGł.
(36) 33025,TLK, ,PrzemyślGł._Medyka_MostiskaII_OdessaHl.
(40) 17010/1,EIC,BERLIN - WARSZAWA - EXPRESS,WarszawaWsch._WarszawaCentr._PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(402) 54070/1,TLK,WYDMY,Hel_Władysławowo_GdyniaGł._IławaGł._ToruńGł._Inowrocław_ZduńskaWolaKarsznice_Częstochowa_Katowice_Tychy_WodzisławŚl._Chałupki_Bohumin
(403) 45070/1,TLK,WYDMY,Bohumin_Chałupki_WodzisławŚl._Tychy_Katowice_Częstochowa_ZduńskaWolaKarsznice_Inowrocław_ToruńGł._IławaGł._GdyniaGł._Władysławowo_Hel
(404) 84070/1,TLK,PIRAT,Kołobrzeg_Białogard_Szczecinek_PiłaGł._PoznańGł._OstrówWlkp._Kluczbork_Gliwice_Katowice_Knurów_Rybnik_Racibórz_Chałupki_Bohumin
(405) 48070/1,TLK,PIRAT,Bohumin_Chałupki_WodzisławŚl._Rybnik_Knurów_Katowice_Gliwice_Kluczbork_OstrówWlkp._PoznańGł._PiłaGł._Szczecinek_Białogard_Kołobrzeg
(406) 41010/1,IC,CHOPIN,Bohumin_Chałupki_WodzisławŚl._Rybnik_Katowice_KrakówGł._WłoszczowaPłn._OpocznoPłd._WarszawaGdańska_WarszawaWsch.
(407) 14010/1,IC,CHOPIN,WarszawaWsch._WarszawaCentr._OpocznoPłd._WłoszczowaPłn._KrakówGł._Katowice_Rybnik_WodzisławŚl._Chałupki_Bohumin
(41) 71010/1,EIC,BERLIN - WARSZAWA - EXPRESS,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._WarszawaCentr._WarszawaWsch.
(44) 17008/9,EIC,BERLIN - WARSZAWA - EXPRESS,WarszawaWsch._WarszawaCentr._PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(45) 71008/9,EIC,BERLIN - WARSZAWA - EXPRESS,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._WarszawaCentr._WarszawaWsch.
(456) 47010/1,IC,NIGHTJET,GrazHbf_WienHbf_Břeclav_Bohumin_KędzierzynKoźle_OpoleGł._WrocławGł._Legnica_Głogów_ZielonaGóraGł._Rzepin_FrankfurtO_BerlinCharlottenburg
(457) 74010/1,IC,NIGHTJET,BerlinCharlottenburg_FrankfurtO_Rzepin_ZielonaGóraGł._Głogów_Legnica_WrocławGł._OpoleGł._Kędzierzyn_Koźle_Bohumin_Břeclav_WienHbf_GrazHbf
(46) 17006/7,EIC,BERLIN - WARSZAWA - EXPRESS,WarszawaWsch._WarszawaCentr._PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(47) 71006/7,EIC,BERLIN - WARSZAWA - EXPRESS,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._WarszawaCentr._WarszawaWsch.
(48) 17004/5,EIC,BERLIN - WARSZAWA - EXPRESS,WarszawaWsch._WarszawaCentr._PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(49) 71004/5,EIC,BERLIN - WARSZAWA - EXPRESS,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._WarszawaCentr._WarszawaWsch.
(56) 37000/1,IC,WAWEL,PrzemyślGł._Rzeszów_KrakówGł._Katowice_OpoleGł._WrocławGł._Legnica_Głogów_ZielonaGóraGł._Rzepin_FrankfurtO_BerlinHbf
(57) 73000/1,IC,WAWEL,BerlinHbf_FrankfurtO_Rzepin_ZielonaGóraGł._Głogów_Legnica_WrocławGł._OpoleGł._Katowice_KrakówGł._Rzeszów_PrzemyślGł.
(58) 57000/1,IC,GEDANIA,GdyniaGł._GdańskGł._BydgoszczGł._Inowrocław_PoznańGł._Rzepin_FrankfurtO_BerlinHbf
(59) 75000/1,IC,GEDANIA,BerlinHbf_FrankfurtO_Rzepin_PoznańGł._Inowrocław_BydgoszczGł._GdańskGł._GdyniaGł.
(67) 21010/1,IC,KIEV EXPRESS,Kyiv_Pas._Jagodin_Dorohusk_Chełm_Lublin_Dęblin_WarszawaWsch.
(68) 12010/1,IC,KIEV EXPRESS,WarszawaWsch._Dęblin_Lublin_Chełm_Dorohusk_Jagodin_Kyiv_Pas.
(705) 33010,IC, ,Kyiv_Pas._Vinnytsia_LvivHl._Mostiska_Medyka_PrzemyślGł.
(706) 33017,IC, ,PrzemyślGł._Medyka_Mostiska_LvivHl._Vinnytsia_Kyiv_Pass.
(715) 33014,IC, ,Kyiv_Pas._Vinnytsia_LvivHl._Mostiska_Medyka_PrzemyślGł.
(716) 33013,IC, ,PrzemyślGł._Medyka_Mostiska_LvivHl._Vinnytsia_KyivPass.
(89) 33008,TLK, ,Kyiv_Pas._Korosten_LvivHl._Mostiska_Medyka_PrzemyślGł.
(90) 33007,TLK, ,PrzemyślGł._Medyka_Mostiska_LvivHl._Korosten_Kyiv_Pas.
1000/1,IC,NAREW,ŁódźFabr._Koluszki_Skierniewice_WarszawaCentr._Małkinia_Szepietowo_Łapy_Białystok
1002/3,IC,ZAMENHOF,WarszawaCentr._Małkinia_Szepietowo_Łapy_Białystok
10100/1,TLK,ŻUBR,WarszawaWsch._Siedlce_Hajnówka_Białystok
10110/1,TLK,ŻUBR,Białystok_Hajnówka_Siedlce_WarszawaWsch.
1100/1,IC,NAREW,Białystok_Łapy_Szepietowo_Małkinia_WarszawaCentr._Koluszki_Skierniewice_ŁódźFabr.
1102/3,IC,ZAMENHOF,Białystok_Łapy_Szepietowo_Małkinia_WarszawaCentr._WarszawaZach.
11100/1,IC,SKARYNA,WarszawaWsch._Siedlce_Łuków_MiędzyrzecPodl._Terespol
11102/3,IC,MICKIEWICZ,WarszawaWsch._Siedlce_Łuków_MiędzyrzecPodl._Terespol
11104/5,IC,STARZYŃSKI,WarszawaWsch._Siedlce_Łuków_MiędzyrzecPodl._Terespol
11106/7,IC,NIEMCEWICZ,WarszawaWsch._Siedlce_Łuków_MiędzyrzecPodl._Terespol
11110/1,IC,SKARYNA,Terespol_MiędzyrzecPodl._Łuków_Siedlce_WarszawaWsch.
11112/3,IC,MICKIEWICZ,Terespol_MiędzyrzecPodl._Łuków_Siedlce_WarszawaWsch.
