Number,Type,Name,Route
18170/1,TLK,UZNAM,WarszawaWsch._WarszawaCentr._Kutno_PoznańGł._Zbąszynek_Kostrzyn_SzczecinGł._Goleniów_Świnoujście
1850/1,EIC,POSEJDON,WarszawaCentr._IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Koszalin_Kołobrzeg
1900/1,IC,BORYNA,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
1902/3,IC,ŁĘCKA,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_ŁódźFabr.
1902/3,IC,ŁĘCKA,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_ŁódźFabr.
1904/5,IC,PRZĄŚNICZKA,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_ŁódźFabr.
1906/7,IC,RUBINSTEIN,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
1908/9,IC,JAGNA,WarszawaGł._Skierniewice_Koluszki_ŁódźFabr.
1908/9,IC,JAGNA,WarszawaGł._Skierniewice_Koluszki_ŁódźFabr.
1910/1,IC,TUWIM,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
19100/1,IC,ŁODZIANIN,WarszawaWsch._WarszawaGdańska_Skierniewice_Koluszki_ŁódźWidzew_ŁódźFabr.
1912/3,IC,SOPLICA,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
19130/1,IC,ZOSIA,WarszawaGdańska_Skierniewice_Koluszki_ŁódźWidzew_ŁódźFabr.
19132/3,IC,KORCZAK,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_ŁódźWidzew_ŁódźFabr.
20100/1,IC,HETMAN,HrubieszówMiasto_Zamość_Biłgoraj_StalowaWolaRozw.
2100/1,IC,CZARTORYSKI,LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
2100/1,IC,CZARTORYSKI,LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaCentr._WarszawaZach.
21100/1,IC,CHEŁMIANIN,Chełm_Rejowiec_LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaWsch.
21106/7,IC,REJ,Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaGdańska_WarszawaWsch.
21110/1,IC,NIDA,Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaMłynów_WarszawaGdańska_WarszawaWsch.
21110/1,TLK,NIDA,Kielce_SkarżyskoKam._Radom_WarszawaGdańska_WarszawaWsch.
21120/1,TLK,INKA,LublinGł._Łuków_Siedlce_WarszawaWsch.
21122/3,TLK,CZECHOWICZ,LublinGł._Łuków_Siedlce_WarszawaWsch.
21170/1,TLK,USTRONIE,LublinGł._Dęblin_Pilawa_WarszawaWsch.
22100/1,IC,HETMAN,StalowaWolaRozw._Biłgoraj_Zamość_HrubieszówMiasto
23100/1,IC,JAGIEŁŁO,LublinGł._PuławyMiasto_RadomGł._Kielce_Miechów_KrakówGł.
24100/1,IC,SZTYGAR,LublinGł._PuławyMiasto_RadomGł._Kielce_Zawiercie_Katowice
24102/3,IC,MORCINEK,Kielce_Włoszczowa_Zawiercie_Katowice
25100/1,IC,KUJAWIAK,Chełm_LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaCentr._Sochaczew_Kutno_ToruńGł._BydgoszczGł.
25150/1,TLK,MIERZEJA,LublinGł._Dęblin_WarszawaWsch._IławaGł._Tczew_GdyniaGł._Hel
26100/1,IC,BOLKO,LublinGł._PuławyMiasto_RadomGł._Kielce_Zawiercie_Katowice_Gliwice_OpoleGł._WrocławGł.
26102/3,IC,MORCINEK,LublinGł._PuławyMiasto_RadomGł._Kielce_Włoszczowa_CzęstochowaStradom_Lubliniec_OpoleGł._WrocławGł.
2620/1,IC,KONOPNICKA,LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaCentr._Skierniewice_Koluszki_ŁódźWidzew_ZduńskaWola_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł.
2622/3,IC,BACZYŃSKI,LublinGł._PuławyMiasto_Dęblin_WarszawaCentr._Skierniewice_Koluszki_ŁódźWidzew_ZduńskaWola_Sieradz_OstrówWlkp._Krotoszyn_OleśnicaRataje_WrocławGł.
2700/1,IC,HETMAN,LublinGł._Kraśnik_StalowaWolaRozwadów_Leżajsk_RzeszówGł._Tarnów_KrakówGł._Katowice_Gliwice_OpoleGł._WrocławGł._Legnica_ZielonaGóraGł.
27100/1,IC,LUBUSZANIN,LublinGł._PuławyMiasto_Dęblin_Pilawa_Otwock_WarszawaCentr._Sochaczew_Kutno_Konin_Września_PoznańGł._Zbąszynek_ZielonaGóraGł.
27102/3,IC,WIENIAWSKI,LublinGł._PuławyMiasto_RadomGł._TomaszówMaz._ŁódźWidzew_Pabianice_ZduńskaWola_Kalisz_Jarocin_PoznańGł.
28100/1,TLK,STASZIC,LublinGł._Dęblin_WarszawaWsch._Kutno_Włocławek_ToruńGł._BydgoszczGł._PiłaGł._Wałcz_SzczecinGł.
28102/3,TLK,WYCZÓŁKOWSKI,LublinGł._Radom_Kielce_CzęstochowaStr._OpoleGł._WrocławGł._Legnica_ZielonaGóraGł._Kostrzyn_SzczecinGł.*_Goleniów_Świnoujście
28104/5,IC,ZAMOYSKI,HrubieszówMiasto_Zawada_LublinGł._Dęblin_WarszawaCentr._Sochaczew_Kutno_Włocławek_BydgoszczGł._PiłaGł._Białogard_Kołobrzeg
30100/1,IC,MALINOWSKI,KrakówGł._Tarnów_NowySącz_Muszyna_Krynica_Zdrój
30104/5,TLK,MAŁOPOLSKA,KrakówGł._Tarnów_Stróże_NowySącz_Muszyna_KrynicaZdrój
30110/1,TLK,WETLINA,KrakówGł._Tarnów_Jasło_Zagórz
30112/3,TLK,BIESZCZADY,KrakówGł._Tarnów_Jasło_Zagórz
30160/1,TLK,POŁONINY,KrakówGł._Tarnów_Jasło_Łupków
30162/3,TLK,BIESZCZADY,KrakówGł._Tarnów_Jasło_Uherce_Łupków
30170/1,TLK,KARPATY,KrakówGł._Tarnów_Stróże_NowySącz_Muszyna_KrynicaZdrój
3100/1,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3102/3,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3104/5,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3106/7,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3108/9,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3110/1,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
31100/1,IC,MALINOWSKI,PrzemyślGł._RzeszówGł._Tarnów_KrakówGł._OpocznoPłd._WarszawaCentr._WarszawaWsch.
31100/1,IC,MALINOWSKI,PrzemyślGł._RzeszówGł._Tarnów_KrakówGł._OpocznoPłd._WarszawaCentr._WarszawaWsch.
31102/3,IC,MARSZAŁEK PIŁSUDSKI,KrakówGł._Miechów_OpocznoPłd._WarszawaGdańska_WarszawaWsch.
31104/5,IC,WITOS,PrzemyślGł._Jarosław_Leżajsk_StalowaWolaCentrum_Sandomierz_SkarżyskoKościelne_RadomGł._Warka_WarszawaŚródmieście_WarszawaWsch.
31106/7,IC,SAN,PrzemyślGł._Jarosław_Leżajsk_StalowaWolaCentrum_Sandomierz_SkarżyskoKościelne_RadomGł._Warka_WarszawaŚródmieście_WarszawaWsch.
31108/9,IC,REYMONT,KrakówGł._Miechów_Koniecpol_Częstochowa_PiotrkówTrybunalski_ŁódźFabr.
31110/1,IC,KINGA,KrakówGł._Miechów_Kielce_RadomGł._Warka_WarszawaGdańska_WarszawaWsch.
31112/3,IC,KARŁOWICZ,Zakopane_Chabówka_KrakówGł._Miechów_Kielce_RadomGł._Warka_WarszawaGdańska_WarszawaWsch.
3112/3,EIP,,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3128/9,IC,ŁOKIETEK,KrakówGł._Miechów_OpocznoPłd._WarszawaCentr._WarszawaWsch.
3134/5,IC,KAZIMIERZ,KrakówGł._Miechów_WłoszczowaPłn._TomaszówMaz._ŁódźFabr.
3150/1,EIC,TATRY,Zakopane_NowyTarg_Chabówka_KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
3152/3,EIC,KOŚCIUSZKO,KrakówGł._CMK_WarszawaCentr._WarszawaWsch.
32100/1,IC,JAGIEŁŁO,KrakówGł._Miechów_Kielce_RadomGł._PuławyMiasto_LublinGł.
33100/1,IC,MALINOWSKI,Krynica_Zdrój_Muszyna_NowySącz_Tarnów_KrakówGł.
33104/5,TLK,MAŁOPOLSKA,KrynicaZdrój_Muszyna_Stróże_Tarnów_KrakówGł.
33110/1,TLK,WETLINA,Zagórz_Jasło_Tarnów_KrakówGł.
33112/3,TLK,BIESZCZADY,Zagórz_Jasło*_Tarnów_KrakówGł.
33160/1,TLK,POŁONINY,Łupków_Jasło_Tarnów_KrakówGł.
33162/3,TLK,BIESZCZADY,Łupków_Uherce_Jasło_Tarnów_KrakówGł.
33170/1,TLK,KARPATY,KrynicaZdrój_Muszyna_Stróże_Tarnów_KrakówGł.
3500/1,EIP,,KrakówGł._CMK_WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
3502/3,EIP,,KrakówGł._CMK_WarszawaCentr._GdańskGł._GdyniaGł.
3504/5,EIP,,KrakówGł._CMK_WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
3506/7,EIP,,KrakówGł._CMK_WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
3508/9,EIP,,RzeszówGł._Tarnów_KrakówGł._CMK_WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
3510/1,EIP,,KrakówGł._CMK_WarszawaCentr._GdańskGł._GdyniaGł.
35102/3,TLK,LUBOMIRSKI,KrakówGł._OpocznoPołudnie_WarszawaWsch._IławaGł._Tczew_GdyniaGł.
35104/5,TLK,MAŁOPOLSKA,Zakopane_Chabówka_SuchaBeskidzkaZamek_KrakówGł._OpocznoPołudnie_TomaszówMaz._Koluszki_Skierniewice_WarszawaWsch._IławaGł._Tczew_GdyniaGł.
3512/3,IC,PIAST,KrakówGł._Mysłowice_Katowice_Gliwice_StrzelceOpolskie_OpoleGł._WrocławGł._Leszno_PoznańGł._Inowrocław_BydgoszczGł._Tczew_GdyniaGł.
3514/5,IC,ARTUS,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_OpoleGł._WrocławGł._PoznańGł._BydgoszczGł._Tczew_GdyniaGł.
35150/1,IC,HALNY,Zakopane_Chabówka_SuchaBeskidzka_Żywiec_Bielsko_BiałaGł._OpoleGł._WrocławGł._Leszno_PoznańGł._Gniezno_Inowrocław_BydgoszczGł.
35170/1,TLK,KARPATY,Zakopane_Chabówka_SuchaBeskidzkaZamek_KrakówGł._Częstochowa_PiotrkówTrybunalski_Skierniewice_WarszawaWsch._IławaGł._Tczew_GdyniaGł.
35172/3,TLK,ROZEWIE,KrakówGł._Mysłowice_Katowice_Gliwice_OpoleGł._WrocławGł._Leszno_PoznańGł._Gniezno_Inowrocław_BydgoszczGł._Tczew_GdyniaGł.
35172/3,TLK,ROZEWIE,KrakówGł._Mysłowice_Katowice_Gliwice_OpoleGł._WrocławGł._Leszno_PoznańGł._Gniezno_Inowrocław_BydgoszczGł._Tczew_GdyniaGł._Władysławowo_Hel
35190/1,TLK,KORSARZ,KrakówGł._Zawiercie_Częstochowa_PiotrkówTrybunalski_ŁódźWidzew_Inowrocław_BydgoszczGł._Tczew_GdyniaGł._Hel
3520/1,IC,ŻEROMSKI,KrakówGł._Miechów_Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaGdańska_Ciechanów_Działdowo_Nidzica_OlsztynGł.
3522/3,IC,SIENKIEWICZ,KrakówGł._Miechów_Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaGdańska_Ciechanów_IławaGł._Ostróda_OlsztynGł.
3524/5,IC,KOLBERG,KrakówGł._Miechów_Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaGdańska_Ciechanów_Działdowo_Nidzica_OlsztynGł.
3526/7,IC,ORŁOWICZ,KrakówGł._Miechów_Kielce_Skarżysko_Kamienna_RadomGł._Warka_WarszawaGdańska_Ciechanów_Działdowo_Nidzica_OlsztynGł.
3532/3,IC,KOCHANOWSKI,RzeszówGł._Tarnobrzeg_StalowaWolaCharzewice_LublinGł._PuławyMiasto_Dęblin_Pilawa_WarszawaCentr._Sochaczew_Kutno_ToruńGł._BydgoszczGł.
3534/5,IC,KAZIMIERZ,KrakówGł._Miechów_WłoszczowaPłn._TomaszówMaz._ŁódźWidzew_ŁódźKaliska_Kutno_ToruńGł._BydgoszczGł.
3550/1,EIP,,KrakówGł._CMK_WarszawaCentr._GdańskGł._GdyniaGł.
3554/5,IC,ARTUS,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_OpoleGł._WrocławGł._PoznańGł._BydgoszczGł._Tczew_GdyniaGł._Władysławowo_Hel
3560/1,IC,WITKACY,Zakopane_Chabówka_KalwariaZeb.Lanc._KrakówGł._Miechów_OpocznoPłd._TomaszówMaz._ŁódźWidzew_ŁódźKaliska_Kutno_Włocławek_ToruńGł._BydgoszczGł._LaskowicePom._Tczew_GdyniaGł.
3600/1,IC,WYSPIAŃSKI,PrzemyślGł._RzeszówGł._Tarnów_KrakówGł._Katowice_Gliwice_OpoleGł._WrocławGł.
3604/5,IC,GROTTGER,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_OpoleGł._WrocławGł.
36100/1,IC,BOZNAŃSKA,KrakówGł._Katowice_OpoleGł._WrocławGł.
36102/3,TLK,SUDETY,KrakówGł._Mysłowice_Katowice_KędzierzynKoźle_JaworzynaŚląska_WałbrzychMiasto_JeleniaGóra
36104/5,IC,SIEMIRADZKI,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_OpoleGł._WrocławGł.
36110/1,TLK,WETLINA,Zagórz_Jasło_Tarnów_KrakówGł._Katowice_Gliwice_OpoleGł._KamieniecZąbkowicki_KłodzkoMiasto
3700/1,IC,ŚLĄZAK,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_OpoleGł._WrocławGł._PoznańGł.
37100/1,IC,PUŁASKI,KrakówGł._Trzebinia_Zawiercie_CzęstochowaStradom_Kluczbork_OstrówWlkp._PoznańGł.
37100/1,TLK,PUŁASKI,KrakówGł._Zawiercie_CzęstochowaStradom_Lubliniec_Kluczbork_OstrówWlkp._PoznańGł.
37102/3,IC,WYBICKI,KrakówGł._Trzebinia_Zawiercie_CzęstochowaStradom_Kluczbork_OstrówWlkp._PoznańGł.
37102/3,IC,WYBICKI,KrakówGł._Zawiercie_CzęstochowaStradom_Lubliniec_OstrówWlkp._PoznańGł.
37104/5,IC,MEHOFFER,PrzemyślGł._RzeszówGł._KrakówGł._Koniecpol_CzęstochowaStradom_OpoleGł._WrocławGł._Legnica_ZielonaGóraGł.
3720/1,IC,CEGIELSKI,KrakówGł._Miechów_OpocznoPłd._TomaszówMaz._ŁódźWidzew_Pabianice_ZduńskaWola_Kalisz_Jarocin_PoznańGł.
3722/3,IC,BARBAKAN,KrakówGł._Miechów_OpocznoPłd._TomaszówMaz._ŁódźWidzew_ŁódźKaliska_Kutno_Konin_Września_PoznańGł.
3800/1,EIP,,KrakówGł._CMK_WarszawaCentr._GdyniaGł._Słupsk_Koszalin_Kołobrzeg
3804/5,IC,MATEJKO,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_Kędzierzyn_Koźle_OpoleGł._WrocławGł._Wołów_ZielonaGóraGł._Rzepin_SzczecinDąbie_SzczecinGł.
3806/7,IC,MALCZEWSKI,KrakówGł._Katowice_Gliwice_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Białogard_Kołobrzeg
3806/7,IC,MALCZEWSKI,KrakówGł._Katowice_Gliwice_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Białogard_Kołobrzeg
38100/1,IC,GÓRSKI ,RzeszówGł._Tarnobrzeg_StalowaWolaCharzewice_LublinGł._Pilawa_Dęblin_WarszawaCentr._Sochaczew_Kutno_Konin_PoznańGł._Krzyż_Stargard_SzczecinGł.
38102/3,IC,OSTERWA,KrakówGł._Trzebinia_Katowice_Gliwice_Lubliniec_OstrówWlkp._PoznańGł._Krzyż_Stargard_SzczecinGł.
38102/3,IC,OSTERWA,KrakówGł._Katowice_Gliwice_Lubliniec_OstrówWlkp._PoznańGł._Stargard_SzczecinGł.
38104/5,IC,CHEŁMOŃSKI,KrakówGł._Katowice_Kędzierzyn_Koźle_OpoleGł._WrocławGł._Legnica_ZielonaGóraGł._SzczecinDąbie_Świnoujście
38106/7,IC,ZEFIR,KrakówGł._Miechów_Koniecpol_CzęstochowaStr._Kępno_OstrówWlkp._PoznańGł._PiłaGł.
38150/1,IC,KRAKOWIANKA,KrakówGł._Trzebinia_Katowice_Gliwice_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Białogard_Kołobrzeg
38152/3,TLK,LUBOMIRSKI,KrakówGł._OpocznoPołudnie_WarszawaWsch._IławaGł._Tczew_GdyniaGł._Kołobrzeg
38170/1,TLK,USTRONIE,KrakówGł._Kielce_SkarżyskoKam._Radom_Dęblin_WarszawaWsch._IławaGł._Tczew_GdyniaGł._Słupsk_Kołobrzeg.
38170/1,TLK,USTRONIE,KrakówGł._Kielce_SkarżyskoKam._Radom_WarszawaWsch._IławaGł._Tczew_GdyniaGł._Słupsk_Kołobrzeg
38172/3,IC,PRZEMYŚLANIN,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_Gliwice_WrocławGł._Leszno_PoznańGł._Stargard_SzczecinGł._Goleniów_Świnoujście
38174/5,TLK,WOLIN ,KrakówGł._Katowice_Gliwice_StrzelceOpolskie_WrocławGł._Legnica_ZielonaGóra_Kostrzyn_SzczecinDąbie_Świnoujście
38176/7,IC,JAMNO,KrakówGł._Koniecpol_CzęstochowaStradom_Lubliniec_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Koszalin_Słupsk_Ustka
38190/1,IC,BURSZTYN,KrakówGł._Trzebinia_Zawiercie_Częstochowa_PiotrówTryb._ŁódźWidzew_BydgoszczGł._PiłaGł._Białogard_Kołobrzeg
38192/3,IC,PODHALANIN,Zakopane_Chabówka_Wadowice_Bielsko_BiałaGł._Katowice_Gliwice_Lubliniec_OstrówWlkp._ŚrodaWlkp._PoznańGł._Krzyż_SzczecinDąbie_SzczecinGł.
3840/1,EIP,,KrakówGł._CMK_WarszawaCentr._IławaGł._Tczew_GdyniaGł._Słupsk_Koszalin_Kołobrzeg
40171,TLK,PIRAT,Katowice_Tychy_Pszczyna_CzechowiceDziedzice_Bielsko_BiałaGł.
4110/1,EIC,ONDRASZEK,Bielsko_BiałaGł.od.III_Katowicedo.III_Tychy_Katowice_SosnowiecGł._CMK_WarszawaCentr._WarszawaWsch.
4110/1,EIC,ONDRASZEK,Bielsko_BiałaGł._Tychy_Katowice_SosnowiecGł._CMK_WarszawaCentr._WarszawaWsch.
41100/1,TLK,CHEMIK,Katowice_Zawiercie_Częstochowa_PiotrkówTrybunalski_ŁódźWidzew_Kutno_Płock
4120/1,IC,DASZYŃSKI,Bielsko_BiałaGł._Tychy_Katowice_Częstochowa_Koluszki_Skierniewice_WarszawaZach._WarszawaGdańska_WarszawaWsch.
4122/3,IC,PILECKI,Bielsko_BiałaGł._Pszczyna_Katowice_Częstochowa_Koluszki_Skierniewice_WarszawaCentr._Tłuszcz_Małkinia_Białystok
4160/1,IC,DASZYŃSKI,WisłaUzdrowisko_Skoczów_Tychy_Katowice_Zawiercie_Częstochowa_Koluszki_Skierniewice_WarszawaZach._WarszawaGdańska_WarszawaWsch.
42100/1,IC,SZTYGAR,Katowice_Zawiercie_Kielce_RadomGł._PuławyMiasto_LublinGł.
42102/3,IC,MORCINEK,Katowice_Zawiercie_Włoszczowa_Kielce
44170,TLK,PIRAT,Bielsko_BialaGł._CzechowiceDziedzice_Pszczyna_Tychy_Katowice
4500/1,EIP,,Bielsko_BiałaGł._Tychy_Katowice_SosnowiecGł._WarszawaCentr._IławaGł._Tczew_GdyniaGł._GdyniaGł.
4502/3,EIP,,Gliwice_Zabrze_Katowice_SosnowiecGł._WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
4504/5,EIP,,Bielsko_BiałaGł._Tychy_Katowice_SosnowiecGł._WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
4506/7,EIP,,Bielsko_BiałaGł._Tychy_Katowice_SosnowiecGł._WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
4508/9,EIP,,Gliwice_Zabrze_Katowice_SosnowiecGł._WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
45100/1,TLK,DOKER,Katowice_Zawiercie_Częstochowa_PiotrkówTrybunalski_ŁódźWidzew_Kutno_ToruńGł._BydgoszczGł._Tczew_GdyniaGł.
45102/3,TLK,FLISAK,Katowice_Zawiercie_Częstochowa_PiotrkówTrybunalski_ŁódźWidzew_Kutno_Płock_Grudziądz_Tczew_GdyniaGł.
45150/1,IC,HALNY,Bielsko_BiałaGł._Rybnik_OpoleGł._WrocławGł._Leszno_PoznańGł._Gniezno_Inowrocław_BydgoszczGł.
4520/1,IC,HUTNIK,Bielsko_BiałaGł._Pszczyna_Katowice_Częstochowa_PiotrkówTryb._ŁódźWidzew_ŁódźKaliska_Kutno_ToruńGł._BydgoszczGł._LaskowicePom._Tczew_GdańskGł._GdyniaGł.
4522/3,IC,SKARBEK,Racibórz_Kędzierzyn_Koźle_Gliwice_Katowice_Częstochowa_PiotrkówTryb._Koluszki_Skierniewice_WarszawaGdańska_Ciechanów_Działdowo_Nidzica_OlsztynGł.
4524/5,IC,KORMORAN,Bielsko_BiałaGł._Pszczyna_Katowice_Częstochowa_PiotrkówTryb._Koluszki_Skierniewice_WarszawaCentr._Ciechanów_Działdowo_Nidzica_OlsztynGł.
4550/1,EIC,WYSOCKI,Bielsko_BiałaGł.od.III_Katowicedo.III_Tychy_Katowice_SosnowiecGł._CMK_WarszawaCentr._GdyniaGł.
4560/1,IC,KORMORAN,WisłaUzdrowisko_Pszczyna_Katowice_Częstochowa_PiotrkówTryb._Koluszki_Skierniewice_WarszawaCentr._Ciechanów_Działdowo_Nidzica_OlsztynGł.
46174/5,TLK,WOLIN ,BielskoBiałaGł._KędzierzynKoźle_OpoleGl._WrocławGł.
47100/1,IC,SPODEK,Katowice_Gliwice_Lubliniec_Kluczbork_OstrówWlkp._PoznańGł.
47100/1,TLK,SPODEK,Katowice_Gliwice_Lubliniec_Kluczbork_Kępno_OstrówWlkp._PoznańGł.
48100/1,IC,GWAREK,Katowice_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Koszalin_Słupsk
48102/3,IC,SZYNDZIELNIA,Bielsko_BiałaGł._Rybnik_Kędzierzyn_Koźle_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Koszalin_Słupsk_Ustka
48150/1,IC,GWAREK,Katowice_OpoleGł._WrocławGł._Leszno_PoznańGł._PiłaGł._Koszalin_Słupsk_Ustka
4850/1,EIC,FREGATA,Bielsko_BiałaGł._Tychy_Katowice_SosnowiecGł._CMK_WarszawaCentr._GdyniaGł._Lębork_Słupsk_Koszalin_UstronieMorskie_Kołobrzeg
50104/5,IC,NIEGOCIN,GdyniaGł._Tczew_Malbork_Elbląg_OlsztynGł._Korsze_Giżycko
50104/5,IC,NIEGOCIN,GdyniaGł._Tczew_Malbork_Elbląg_OlsztynGł._Korsze_Giżycko
50150/1,TLK,SARBSKO,Lębork_Łeba
50157,TLK,GARDNO,Lębork_Łeba
50171,TLK,WYDMY,GdyniaGł._Lębork_Łeba
50190/1,TLK,KORSARZ,GdyniaGł._Lębork_Łeba
5100/1,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr.
5102/3,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr.
5104/5,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr.
5110/1,IC,SŁOWINIEC,GdyniaGł._GdańskGł._Tczew_IławaGł._Ciechanów_WarszawaZach.
5110/1,IC,SŁOWINIEC,GdyniaGł._GdańskGł._Tczew_IławaGł._Ciechanów_WarszawaZach.
51102/3,TLK,BIEBRZA,GdyniaGł._Tczew_Malbork_Elbląg_OlsztynGł._Szczytno_Ełk_Białystok_Hajnówka_Siedlce_WarszawaWsch.
5112/3,IC,WYBRZEŻE,GdyniaGł._Tczew_IławaGł._WarszawaWsch._WarszawaZach.
51150/1,TLK,DELFIN,Łeba_Lębork_GdyniaGł._Tczew_IławaGł._WarszawaWsch.
5120/1,IC,WARMIA,OlsztynGł._Ostróda_IławaGł._Działdowo_WarszawaCentr.
5122/3,IC,MAZURY,OlsztynGł._Nidzica_Działdowo_WarszawaCentr._Skierniewice_Koluszki_ŁódźFabr.
5124/5,IC,KOPERNIK,BydgoszczGł._ToruńGł._Włocławek_Kutno_Sochaczew_WarszawaGdańska_WarszawaWsch.
5126/7,IC,MONIUSZKO,BydgoszczGł._ToruńGł._Włocławek_Kutno_Sochaczew_WarszawaGdańska_WarszawaWsch.
5126/7,IC,MONIUSZKO,BydgoszczGł._ToruńGł._IławaGł._Ciechanów_WarszawaCentr.
5128/9,IC,REJEWSKI,BydgoszczGł._ToruńGł._Włocławek_Kutno_Sochaczew_WarszawaCentr._WarszawaWsch.
5128/9,IC,REJEWSKI,BydgoszczGł._ToruńGł._IławaGł._Ciechanów_WarszawaCentr.
5130/1,IC,BRDA,BydgoszczGł._ToruńGł._Włocławek_Kutno_Sochaczew_WarszawaGdańska_WarszawaWsch.
5130/1,IC,BRDA,BydgoszczGł._ToruńGł._IławaGł._Ciechanów_WarszawaCentr.
5132/3,IC,KOCIEWIE,GdyniaGł._GdańskGł._Tczew_BydgoszczGł._ToruńGł._Kutno_ŁódźKaliska_ŁódźWidzew_ŁódźFabr.
5140/1,EIC,JANTAR,Hel_Władysławowo_GdyniaGł._GdańskGł._WarszawaZach.
5142/3,IC,LAGUNA,GdyniaGł._GdańskGł._Tczew_IławaGł._Działdowo_WarszawaCentr.
5144/5,EIC,KASZUB,GdyniaGł._GdańskGł._WarszawaZach.
5146/7,EIC,NEPTUN,GdyniaGł._GdańskGł._WarszawaZach.
52100/1,IC,KUJAWIAK,BydgoszczGł._ToruńGł._Kutno_Sochaczew_WarszawaGdańska_Pilawa_Dęblin_PuławyMiasto_LublinGł._Chełm
52150/1,TLK,MIERZEJA,Hel_GdyniaGł._Tczew_IławaGł._WarszawaWsch._Dęblin_LublinGł.
5300/1,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr._CMK_KrakówGł.
5302/3,EIP,,GdyniaGł._GdańskGł._WarszawaCentr._CMK_KrakówGł.
5304/5,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr._CMK_KrakówGł.
5306/7,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr._CMK_KrakówGł.
5308/9,EIP,,GdyniaGł._GdańskGł._Tczew_IławaGł._WarszawaCentr._CMK_KrakówGł._Tarnów_RzeszówGł.
5310/1,EIP,,GdyniaGł._GdańskGł._WarszawaCentr._CMK_KrakówGł.
53102/3,TLK,LUBOMIRSKI,GdyniaGł._Tczew_IławaGł._WarszawaWsch._OpocznoPołudnie_KrakówGł.
